R.FileName,R.Condition,UniqueProteins,UniquePeptides,MeanMissedCleavage,SummedIntensity
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_F6,pig128_day7,1377,11073,0.5142605855006911,17972065.916502
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_G6,pig128_day7,1287,10510,0.5041938490214353,16730235.420798302
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_H6,pig128_day7,1265,9605,0.38310529446757885,20305397.72778368
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_E8,pig128_day56,1188,9346,0.4764779503791504,20647576.81979084
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_F8,pig128_day56,1160,10014,0.5171777884024316,20161506.90476072
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_G8,pig128_day56,1207,9707,0.5434149804756834,25132466.11451578
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_C6,pig128_day5,1104,9797,0.5340779738190097,22049035.634750843
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_D6,pig128_day5,1083,9259,0.505868544600939,18600760.637054443
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_E6,pig128_day5,1102,9272,0.539272030651341,22441758.704075813
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_B8,pig128_day42,1182,9676,0.517231557960695,24789230.73736143
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_C8,pig128_day42,1173,9623,0.4389103325415677,23680457.29050541
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_D8,pig128_day42,1153,9146,0.4866201933888014,20722731.94081974
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_G7,pig128_day28,1211,9754,0.5230932954948563,19901754.111700535
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_H7,pig128_day28,1054,8620,0.5351351351351351,22114210.00530815
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_D7,pig128_day21,1161,9856,0.5135869565217391,23704701.792779922
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_E7,pig128_day21,1584,12246,0.46192072113717786,21215851.66072464
